source	target	source_genesymbol	target_genesymbol	is_directed	is_stimulation	is_inhibition	consensus_direction	consensus_stimulation	consensus_inhibition	type	ncbi_tax_id_source	entity_type_source	ncbi_tax_id_target	entity_type_target
SOD1	EGFR	SOD1	EGFR	1	0	0	1	0	0	binding	10090	protein	9606	protein
CDK1	P53	CDK1	TP53	1	1	0	1	1	0	activation	10116	protein	9606	protein
MYC	GAPDH	MYC	GAPDH	1	1	0	1	1	0	phosphorylation	9606	protein	9606	protein
MTOR	NFKB1	MTOR	NFKB1	1	0	1	1	0	1	ubiquitination	9606	protein	10116	protein
NFKB1	CDK1	NFKB1	CDK1	1	1	0	1	1	0	activation	10116	protein	10116	protein
MAPK1	HSP90	MAPK1	HSP90AA1	1	0	1	1	0	1	ubiquitination	9606	protein	10090	protein
P53	CREB1	TP53	CREB1	1	0	1	1	0	1	ubiquitination	9606	protein	10116	protein
HSP90	APP	HSP90AA1	APP	1	1	0	1	1	0	activation	10090	protein	10090	protein
HSP90	RHOA	HSP90AA1	RHOA	1	0	1	1	0	1	ubiquitination	10090	protein	10090	protein
SOD1	P53	SOD1	TP53	1	0	1	1	0	1	inhibition	10090	protein	9606	protein
AKT1	HSP90	AKT1	HSP90AA1	1	0	1	1	0	1	ubiquitination	9606	protein	10090	protein
HSP90	MYC	HSP90AA1	MYC	1	0	1	1	0	1	ubiquitination	10090	protein	9606	protein
MAPK1	BRCA1	MAPK1	BRCA1	1	0	1	1	0	1	ubiquitination	9606	protein	9606	protein
NFKB1	RHOA	NFKB1	RHOA	1	0	1	1	0	1	inhibition	10116	protein	10090	protein
NFKB1	APP	NFKB1	APP	1	1	0	1	1	0	phosphorylation	10116	protein	10090	protein
HSP90	GAPDH	HSP90AA1	GAPDH	1	0	0	1	0	0	binding	10090	protein	9606	protein
GAPDH	P53	GAPDH	TP53	1	1	0	1	1	0	activation	9606	protein	9606	protein
AKT1	P53	AKT1	TP53	1	1	0	1	1	0	phosphorylation	9606	protein	9606	protein
GAPDH	APP	GAPDH	APP	1	1	0	1	1	0	activation	9606	protein	10090	protein
P53	MAPK1	TP53	MAPK1	1	1	0	1	1	0	activation	9606	protein	9606	protein
